meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.9054,0.1965,1.0495,-0.1874,0.0284,-0.2222,-0.1288,0.2011,-0.4878,-5.2409,13.1204,-35.4614,-190.4785,186.3516,-552.7954,-17.8711,17.2245,-40.3442,right,11611555
0.8753,0.2450,1.0611,-0.1466,0.0243,-0.1729,-0.2985,0.2327,-0.7377,-0.8382,17.6840,-42.0532,-212.2030,174.7087,-547.2412,-23.6450,11.0906,-41.5039,right,11611555
0.9162,0.1825,1.0416,-0.0955,0.0232,-0.1154,-0.3069,0.1861,-0.6226,-11.1450,17.8554,-55.1147,-198.7793,176.5361,-582.8247,-15.4663,11.3418,-31.1279,right,11611555
0.9112,0.2313,1.1301,-0.1323,0.0415,-0.1722,-0.2924,0.1461,-0.6857,-6.9824,12.1418,-27.5879,-206.5755,185.1194,-526.1230,-25.1994,14.0830,-46.8140,right,11611555
0.9174,0.2412,1.0966,-0.0846,0.0434,-0.1407,-0.2658,0.1984,-0.6624,-3.3732,14.5111,-38.9404,-205.6519,193.0692,-561.3403,-30.1270,18.7262,-54.1992,right,11611555
0.9269,0.2526,1.0858,-0.1236,0.0328,-0.1558,-0.1841,0.2504,-0.7496,-0.3581,11.9560,-27.8931,-205.4484,175.6028,-499.5728,-32.9264,23.3336,-65.6738,right,11611555
0.9220,0.1738,1.0551,-0.0939,0.0267,-0.1168,-0.2700,0.1398,-0.6162,-2.5513,10.8967,-32.9590,-182.9264,187.0542,-591.1255,-21.4803,17.9817,-50.2930,right,11611555
0.9819,0.1700,1.1279,-0.1008,0.0308,-0.1418,-0.1963,0.1316,-0.5233,-2.1444,15.0338,-42.9688,-176.8636,201.7928,-624.1455,-26.5666,20.9435,-59.3872,right,11611555
0.9892,0.1599,1.2021,-0.0188,0.0366,-0.0762,-0.1787,0.1614,-0.3816,-8.1706,18.4227,-52.0020,-165.7511,196.1881,-636.0474,-22.5505,19.2303,-57.6782,right,11611555
0.8715,0.3119,1.2375,0.0040,0.0507,0.1157,-0.2517,0.2322,-0.8013,-8.1584,10.5451,-24.3530,-209.4604,220.6523,-545.1660,-25.7975,25.6613,-64.2700,right,11611555
0.9377,0.2064,1.2047,0.0841,0.0330,0.1360,-0.2905,0.0855,-0.4970,0.5371,7.1104,-13.2446,-175.1953,199.2807,-558.7158,-4.6102,9.0797,-16.8457,right,11611555
0.8283,0.4182,1.3290,0.3255,0.1303,0.5714,-0.2152,0.4106,-0.9263,-4.2033,19.8932,-51.3306,-215.4256,216.6934,-629.3335,-44.4784,42.6038,-118.4082,right,11611555
0.3376,0.0892,0.4169,0.3365,0.0203,0.3625,-0.9352,0.0262,-0.9705,9.7961,3.0251,13.6108,10.8337,2.9128,15.7471,-96.2219,12.6521,-109.5581,right,11611555
1.0866,0.1628,1.3890,0.2635,0.0478,0.3467,0.1179,0.1378,0.3820,8.3211,12.5465,20.5688,-174.0682,232.8495,-673.6450,-23.2666,41.4894,-113.5254,right,11611555
0.3708,0.0882,0.5040,0.3192,0.0198,0.3599,-0.9925,0.0410,-1.0432,15.6698,2.0467,19.5312,-12.8377,9.4040,-25.3296,-45.5892,27.8957,-93.0786,right,11611555
1.0108,0.1809,1.2874,0.0440,0.0515,0.1042,-0.1897,0.1109,-0.3248,-5.2979,13.2953,-29.6021,-176.4608,245.6631,-753.1128,-21.8791,28.5043,-78.2471,right,11611555
0.9396,0.1723,1.0934,0.0972,0.0558,0.2567,-0.3465,0.1662,-0.5880,-15.2425,17.3992,-56.7017,-185.2580,186.7711,-602.8442,-22.5138,19.7491,-49.1943,right,11611555
0.9947,0.0972,1.0784,0.0220,0.0265,0.0538,-0.3029,0.1906,-0.5363,-8.1950,18.4865,-46.0815,-161.4136,197.9240,-696.6553,-18.5710,21.7269,-60.4858,right,11611555
0.9211,0.2296,1.1158,0.0209,0.0417,0.1010,-0.3678,0.0606,-0.5394,-3.6296,20.1817,-65.4907,-197.4731,250.0365,-721.5576,-36.3770,30.0430,-88.1958,right,11611555
0.9845,0.1456,1.1417,0.0839,0.0098,0.1005,-0.3345,0.0873,-0.4916,-4.4067,16.8782,-33.3862,-211.9141,223.6124,-622.1924,-1.8433,20.0037,-63.1714,left,11611555
0.9424,0.2299,1.1121,0.1279,0.0568,0.2624,-0.1616,0.1660,-0.5894,2.6896,13.2569,-28.1982,-224.8657,199.3242,-574.6460,-24.1130,35.5280,-93.4448,left,11611555
0.9673,0.1936,1.1246,0.1338,0.0358,0.2458,-0.1193,0.2085,-0.6014,-2.7913,19.9456,-42.6025,-248.0428,208.7391,-594.7266,-14.1968,24.3913,-69.9463,left,11611555
0.9135,0.2382,1.0571,0.1657,0.0377,0.2474,-0.2060,0.2273,-0.6362,-1.6439,10.0494,-24.0479,-233.0688,177.6418,-499.5117,-22.4976,24.0034,-67.4438,left,11611555
0.9597,0.2055,1.0975,0.0927,0.0309,0.1879,-0.1634,0.0916,-0.3428,-11.2223,17.0102,-47.3022,-236.3851,213.3699,-596.1914,-9.2570,23.4393,-61.7065,left,11611555
0.8720,0.2300,1.0380,0.1283,0.0334,0.2301,-0.3464,0.1157,-0.6973,-10.6405,16.9844,-42.1753,-211.9954,191.9383,-518.2495,-7.0435,18.6405,-43.3350,left,11611555
0.7935,0.2380,0.9824,0.1079,0.0531,0.2311,-0.5170,0.2335,-1.0597,-6.7505,13.2297,-25.3296,-236.8449,138.4749,-432.1289,-16.2231,11.1485,-33.1421,left,11611555
0.9397,0.2326,1.1173,0.0517,0.0568,0.1954,-0.2833,0.1467,-0.6652,-11.2671,18.4843,-47.7905,-214.9821,172.4346,-502.9907,-13.6515,14.9631,-39.9780,left,11611555
0.8765,0.2101,1.0206,0.0789,0.0369,0.1870,-0.4336,0.1239,-0.7846,-14.0910,19.2394,-42.1143,-206.4087,154.6310,-428.1616,-6.7179,12.4960,-33.5693,left,11611555
0.8807,0.2575,1.0563,0.0771,0.0441,0.1888,-0.3352,0.1651,-0.7285,1.0335,12.8093,-23.3765,-218.5018,151.5308,-447.3877,-18.2577,17.9229,-48.2178,left,11611555
0.9240,0.2128,1.0605,0.0561,0.0389,0.1752,-0.2725,0.1358,-0.4989,-6.4087,14.5959,-37.1704,-212.9517,175.6282,-493.3472,-9.8836,12.9782,-45.5933,left,11611555
0.8711,0.2173,1.0790,0.0174,0.0477,0.1217,-0.3830,0.1881,-0.7606,-7.7433,14.4154,-37.6587,-204.1667,183.8133,-483.2764,-12.2518,16.1813,-41.0767,left,11611555
0.8611,0.2053,1.0007,0.0582,0.0320,0.1396,-0.4114,0.1247,-0.6849,-5.0415,11.5068,-26.7944,-188.0737,157.9160,-412.5977,-7.7230,13.4486,-33.9355,left,11611555
0.8391,0.2895,1.0529,0.0955,0.0370,0.1786,-0.3946,0.1605,-0.7667,2.5065,11.9318,21.8506,-223.1038,147.1465,-427.4292,-13.3057,13.9073,-39.6118,left,11611555
0.8720,0.2320,1.1058,0.0643,0.0473,0.1815,-0.4591,0.1221,-0.7297,-7.2266,17.6731,-38.0859,-186.8856,184.7099,-475.1587,-11.0758,16.9648,-45.2271,left,11611555
0.7906,0.2357,0.9578,0.0302,0.0319,0.1004,-0.4920,0.0836,-0.6749,-1.4079,11.7126,-22.5220,-197.0174,112.0450,-353.0273,-8.7931,10.8477,-31.3110,left,11611555
0.8696,0.1988,0.9964,0.0296,0.0224,0.0803,-0.4268,0.0619,-0.5967,1.1353,15.0024,28.1982,-187.5610,136.7818,-396.5454,-10.7951,11.6948,-36.7432,left,11611555
0.6980,0.3220,1.0046,0.0320,0.0498,0.1207,-0.5335,0.2900,-1.0453,1.2573,7.5171,16.1743,-203.1575,82.4108,-310.3638,-14.2863,10.7040,-27.7710,left,11611555
0.8016,0.2261,1.0700,0.3251,0.0435,0.4467,-0.2268,0.1542,-0.6700,-19.6452,13.2128,-41.9922,-201.1108,233.4331,-634.8877,-18.5710,26.9825,-64.3311,up,11611555
0.7832,0.1552,0.9909,0.2264,0.0326,0.3232,-0.2777,0.1174,-0.6023,-16.2476,17.3199,-54.2603,-165.0594,219.3513,-664.6729,-17.9606,29.8972,-81.1157,up,11611555
0.7722,0.1310,0.9491,0.3224,0.0174,0.3406,-0.3692,0.0393,-0.4935,-13.7288,21.8884,-65.6738,-165.0106,220.7919,-679.5044,-14.7339,26.4676,-80.8716,up,11611555
0.7947,0.1456,1.0512,0.2922,0.0329,0.3450,-0.4019,0.0428,-0.4681,-12.8337,21.0587,-55.3589,-151.3997,214.9032,-650.6348,-14.0828,22.9616,-67.3828,up,11611555
0.7685,0.1672,1.0204,0.2982,0.0301,0.3696,-0.4268,0.0647,-0.5952,-10.2417,14.3991,-40.4663,-144.9056,184.1184,-534.6680,-16.3656,25.8771,-72.0215,up,11611555
0.7331,0.1782,0.9506,0.3346,0.0298,0.4152,-0.4831,0.1076,-0.6931,-9.3262,15.5822,-37.5977,-175.7609,178.1058,-490.1123,-20.5973,26.8318,-75.3174,up,11611555
0.7325,0.2114,1.0399,0.3151,0.0293,0.3784,-0.4215,0.0897,-0.6191,-15.0920,18.6915,-49.9878,-194.5760,210.1621,-561.0352,-24.7599,33.5132,-94.4824,up,11611555
0.7780,0.1646,1.0051,0.3427,0.0337,0.3902,-0.4352,0.0479,-0.5357,-6.2297,12.9559,-28.7476,-140.6453,169.0784,-490.3564,-19.0389,28.0107,-72.9980,up,11611555
0.6717,0.1580,0.8846,0.3388,0.0355,0.4091,-0.5073,0.0892,-0.7308,-12.1053,12.0726,-38.9404,-167.8792,179.6739,-530.2734,-19.3034,24.7624,-72.2046,up,11611555
0.7276,0.1793,0.9514,0.3459,0.0435,0.4760,-0.4415,0.0622,-0.6121,-6.9051,11.4628,-29.7852,-152.4048,177.0119,-465.8203,-23.3236,26.5227,-70.5566,up,11611555
0.7803,0.2040,1.0132,0.3549,0.0358,0.4470,-0.4073,0.0495,-0.5166,-9.0373,16.5550,-39.9170,-167.8874,207.9422,-556.8237,-23.9950,32.7072,-82.4585,up,11611555
0.7177,0.1906,0.9735,0.3682,0.0313,0.4355,-0.4744,0.0997,-0.6647,-10.5143,10.8947,-29.4189,-176.5300,159.5598,-430.2368,-17.6961,22.2717,-53.7109,up,11611555
0.7088,0.1912,0.9217,0.4059,0.0237,0.4649,-0.4483,0.0921,-0.6656,-4.6102,12.1496,-26.7334,-164.4043,174.2441,-437.8052,-16.1621,23.2848,-57.7393,up,11611555
0.6903,0.1153,0.8721,0.3391,0.0317,0.3888,-0.3809,0.0795,-0.5431,-7.0231,9.0679,-26.9775,-157.8247,180.6102,-552.5513,-24.8779,24.5867,-77.6978,up,11611555
0.6191,0.1455,0.8144,0.3236,0.0317,0.3669,-0.4043,0.0764,-0.5031,-10.0016,6.6490,-22.4609,-184.5052,185.8252,-594.4824,-23.1201,27.6107,-81.3599,up,11611555
0.6982,0.1629,0.9312,0.3380,0.0407,0.3959,-0.3851,0.0540,-0.4567,-6.2866,12.2044,-41.1377,-152.6001,192.4672,-639.2822,-16.2638,22.3319,-65.1855,up,11611555
0.6467,0.1696,0.8264,0.3652,0.0481,0.4305,-0.4465,0.0983,-0.6562,-6.6488,5.2710,-14.8926,-191.5649,191.1286,-541.4429,-22.7336,24.0015,-69.5801,up,11611555
0.6672,0.1681,0.8865,0.3155,0.0426,0.4087,-0.4053,0.0738,-0.5193,-8.7972,4.3715,-17.7612,-187.2640,169.8014,-523.3154,-23.3765,23.4337,-66.1011,up,11611555
1.0501,0.5030,2.1099,-0.0896,0.0704,-0.1573,-0.4432,0.1144,-0.6331,-13.2894,14.8908,-47.7295,-193.6198,225.5371,-623.2300,-13.8346,23.6506,48.4619,down,11611555
0.8289,0.1612,1.1682,-0.2270,0.0238,-0.2734,-0.4176,0.0585,-0.5599,-12.5977,25.3217,-84.2285,-195.8415,220.9440,-770.2026,-14.3311,9.9031,-26.0010,down,11611555
0.7841,0.1208,0.9617,-0.1424,0.0344,-0.2303,-0.5937,0.1063,-0.7311,-13.4562,21.5449,-65.7959,-139.6484,163.9817,-545.0439,-10.8846,8.6306,-28.3203,down,11611555
0.8183,0.1573,0.9671,-0.1298,0.0434,-0.1853,-0.4899,0.1084,-0.7122,-14.0828,20.5905,-59.8755,-169.4661,170.9405,-530.0903,-10.6649,10.4748,-24.2310,down,11611555
0.7345,0.2268,0.9113,-0.0399,0.0514,-0.1292,-0.6015,0.1411,-0.8732,-11.3444,16.2104,-39.9780,-169.4743,152.4745,-416.5039,-9.6842,7.0816,-23.9868,down,11611555
0.7438,0.1971,0.9223,-0.1445,0.0460,-0.2208,-0.5650,0.1465,-0.9482,-12.5326,14.7413,-43.7622,-171.3949,163.8019,-481.1401,-8.6995,5.1579,-16.7847,down,11611555
0.7131,0.2343,1.1008,-0.1274,0.0429,-0.1984,-0.6606,0.1363,-0.9470,-16.9352,20.0474,-60.2417,-186.9426,141.1341,-485.4736,-14.3229,12.6570,-29.7852,down,11611555
0.8330,0.1976,1.0090,-0.1501,0.0422,-0.1929,-0.4503,0.1529,-0.7779,-12.6383,15.7604,-41.8091,-170.7438,173.0402,-441.2231,-20.6543,12.3866,-41.9922,down,11611555
0.7025,0.2856,1.2983,-0.2006,0.0463,-0.2569,-0.7056,0.1485,-1.1467,-18.9250,22.7574,-67.8101,-179.2765,130.5684,-460.2051,-13.4399,11.5977,-28.8696,down,11611555
0.6786,0.1792,0.9033,-0.1435,0.0635,-0.2197,-0.6869,0.1282,-1.0079,-18.8192,21.3450,-56.4575,-173.6328,143.3456,-431.0913,-15.3687,10.7372,-34.1797,down,11611555
0.7158,0.1936,1.0887,-0.1481,0.0676,-0.2210,-0.5649,0.1411,-1.0129,-17.3462,21.4962,-61.2183,-187.4390,193.6582,-597.4731,-10.5754,8.7526,-24.4751,down,11611555
0.7297,0.2182,1.1081,-0.1711,0.0707,-0.2417,-0.6526,0.1573,-1.1117,-17.8507,23.9809,-63.2324,-161.1369,125.1061,-397.6440,-14.9536,9.4480,-28.9917,down,11611555
0.7748,0.1986,1.0804,-0.1366,0.0499,-0.1912,-0.5616,0.1644,-0.8470,-24.1455,17.0251,-51.5137,-165.4866,144.8896,-369.0796,-15.7064,5.8287,-26.4893,down,11611555
0.7473,0.1389,0.9675,-0.1858,0.0654,-0.2726,-0.5999,0.0612,-0.7629,-19.6452,20.6451,-61.8286,-155.0415,150.2715,-467.7734,-21.5291,10.6940,-33.4473,down,11611555
0.7694,0.2375,1.1362,-0.1183,0.0573,-0.1874,-0.6038,0.1085,-0.8743,-18.1925,18.1429,-52.8564,-160.0667,140.8542,-424.5605,-9.2529,8.6300,-21.7285,down,11611555
0.7758,0.1888,0.9804,-0.1611,0.0604,-0.2416,-0.5455,0.0661,-0.6667,-22.8963,18.3922,-55.9082,-144.2464,152.1467,-417.2974,-13.9323,5.0405,-19.8975,down,11611555
0.5742,0.1374,0.8081,-0.1484,0.0597,-0.2471,-0.7399,0.1023,-0.9010,-21.1182,11.4734,-41.0156,-124.8861,101.3286,-283.5693,-7.8451,4.2780,-16.3574,down,11611555
0.7995,0.2098,1.2759,-0.2142,0.0325,-0.2556,-0.6833,0.1571,-1.1483,-11.8205,16.2006,-46.7529,-126.0986,139.5807,-430.1147,-9.2000,11.2321,-28.4424,down,11611555
0.5173,0.1538,0.8141,-0.1920,0.0844,-0.3234,-0.7224,0.1244,-1.0079,-17.4357,10.6808,-41.9922,-131.3599,110.5165,-360.9009,-15.4663,10.8991,-32.4707,down,11611555
